Bartholomew, Kuma
Bartlet, Kathlene
Bartlett, Joshua
Bartlett, Taylor
Bartley, Misia
Bartley, William
Barton, Trowa
Barton, Dahlia
Barton, Clint
Barton, Leovir
Barton, Claire
Barton Jr., Michael
Bartrich, Joseph Lucolas
Barts, Candy
Barts, John
Bartsch, Micott
Baruch, Linley
Baruta, Area
Barvon, Radu
Barzad, Cain
Bascud, Shuraiya
Bascud, Adelle
Basel, Sieg
Basel, Dylan
Bash, Sandy
Bashin, Toppa
Bashin, Dan
Bashoku, Youjou
Bashro, Roy
Bashur, Alowa
Basil, Kyle
Basilicock, Norm
Basilisk, Basilico
Baskerville, Charlotte
Baskerville, Oswald
Baskerville, Lacie
Baskerville, Lily
Baskerville, Celia
Baskerville, Glen
Baskerville, Noise
Baskerville, Charles
Basler, Beatrice
Bass, Garcian
Bassett, Milla
Bassianus, Marius
Basso, Louis
Basta, Jona
Bastar, Messar Robin
Bastar, Gill
Basterbine, Bambietta
Bastien do Charles, Faron
Bastos, Zelia
Bat, Devil
Bat, Golden
Bate, Alpha
Batenkaitos, Lye
Bates, Jason
Bathcark, Largoquin
Bathin de Emuna, Alaindelon
Bathory, Ferid
Bathory, Margaret
Bathory, Rosalind C.
Batil, Muftal
Batista, Satoshi
Batolli, Nell Elizabeth
Batora, Manabu
Batos, Gi
Batros, Falgar
Batsubami, Rei
Batsuura, Aya
Batta, Mitori
Battaglia, Peró
Battera
Battler, Brian
Battour, Serge
Battour, Aslan
Battour, Pavia
Baudelaire, Celestine
Baudelaire, Cattleya
Baudelaire, Maurice
Baudouin
Bauduin, Gaelio
Bauduin, Almiria
Bauduin, Gallus
Bauer, Abel
Bauer, Johann
Bauer, Demeter
Baum, King
Baumann, Wolfgang
Baumann, Erhart
Baumann, Frederica
Baumann, Timo
Baumeister, Cardina
Baumgarde, Sieglinde
Bawavis, Loa
Bawoo, Enshou
Baxter, William B.
Baxter, Takao
Baxter, Ned
Baxter, Robin
Baxter, Edmund
Baxter, John
Bay, Apolly
Bay, Harold
Bayard, Jack
Baye, Ryder
Bayerlein, Karl Edward
Bayhan, Julusmole
Bayhan, Garshield
Baylord, Yama
Bayluriht, Lyonne
Bayreuth, Rionne Strail
Bazarov, Sharov
Bazettini, Roberto
BB II, Asselin
Beach, Shawn
Beak, Sun Jong
Beamols, Bazra
Beams, Charles
Beams, Ray
Bean, Jimmy
Bean, Keith
Bean, Chilli
Bean, Mark
Beankabul, Nigella
Bear, Geki
Bear, Mr.
Bear, Bernard
Bear, Barney
Bear, Bobby
Beard, Red
Beardsley, Allenby
Bearnt, Hans
Bearzatti, Jacopo
Beau, Auguste
Beauchamp, Robert
Beauchamp, Amelia Anne
Beaudry, Lucas
Beaumarchais, Flora
Beaumarchais, Edgar Kukuhu
Beaumont, Alice
Beaumont, Franklin
Beaumont, Gina
Beaver, Apple
Bebaus, Nefee
Bebaus, Nereis
Beck, Jason
Beck, Raina
Beck, Wired
Becken, Chris
Becker, Haroma
Beckford, Fiona
Beckford, Cardia
Beckford, Isaac
Beckham, Alice
Beckham, Jess
Beckner, Heintz
Becquerel, Letoile
Bedd, Walt
Bedelia, Delphine
Bee, Charmy
Bee, Honey
Bee, Billy
Beef Jr., Kent
Beelzebub, Ajuka
Beelzebub, Shalba
Beelzebub III, Kaiser de Emperana
Beelzebub IV, Kaiser de Emperana
Beethoven, Ludwig van
Beetle, Brian
Beetle, Koji
Behemoth, Violate
Bei, Guo
Bei, Tang Lìe
Beihart, Zanald
Beiron, Ninya
Beisel, Sakaki
Bekka Arr Thied, Zhinzhee
Bekkener, Henken
Bekki, Natsumi
Bekku, Nanaki
Belan, Lina
Beldini, Enrico
Belenbauza Yamada, Pedro
Belenbauza Yamada, Joanna
Belenbauza Yamada, Maria
Belenbauza Yamada, Gabriel
Belew, Charlotte
Belew, Henriette
Belfeban, Rocco
Belforma, Spada
Belger, Angelica 
Beliferal, Lore
Belikova, Svetlana
Belili, Tammuz
Belin, Sophia
Belka, Aisha
Belkens
Bell, Gash
Bell, Zeon
Bell, Mary
Bell, Lilly
Bell, Anise
Bell, Graham
Bell, Graham
Bell Ashcroft, Artemisia
Bell Breguet, Marie
Bella, Hikifune
Belladonna, Blake
Belladonna, Lloyd
Belle, Chess
Bellini, Karla
Bellini, Luka
Bellini, Marco
Bellucci, Menoa
Bellum, Sara
Bellwood, Jessica
Bellwood, Marco
Belmiros Sa, Shidori
Belmonde, Shien
Belmondo, Jean-Marcel
Belmont, Yellow
Belmont, Sherry
Belmont, Michel
Belmonte, Anna
Belserion, Irene
Belserius, Harold
Belteie, Giselle
Beltoise, Betsy
Belton, Shawee
Belton, Jin
Beltre, Noelle
Beltre, Lelia
Beltrum, Christina
Beltrum, Flora
Belucci, Antonia
Belunjay, Marco
Belusas, Curlon
Belvedere, Shin-Lu
Belvedere, Shen-Long
Belvedere, Yvonne
Belway, Kanu
Bemier, Annie
Benchétrit, Manuela
Bendict, Malik
Benedetto, Alex
Benedetto, Emilio
Benedict, Carr
Benengeli, Pepe
Benetnasch, Mime
Benfunk, Ben 
Beni, Botan
Benibana, Ririko
Benibana, Hifumi
Benibara, Nadeshiko
Benigni, Marion
Benigni, Ricardo
Benigni, Jean
Benigni, Cynthia
Benihara, Tarou
Benii, Yosuke
Benikage, Chibusa
Benikawa, Ishuu
Benikomichi, Fuuki
Benikouji, Sakurako
Benimaru, Banko
Benimura, Ukyo
Benio, Saki
Benito, Beryl
Beniya, Yuuji
Benkei XXII, Musashibo
Benn, Beckman
Bennett, Hunter
Bennett, Cranley
Benning, Rachel
Bennu, Kagaho
Benoit, Pierre de
Benoit
Benpouin, Patricia
Benson, Tom
Benten, Yuri
Benten, Kikuko
Bentenyama, Kikunosuke
Bentselle, Revi
Bentselle, Father
Benzai, Yuujirou
Benzaki, Touhei
Beoulve, Zalbaag
Bepp, Johnny
Beppu, Yuugo
Beppu, Tarou
Beppu, Elisa
Beppu, Yuka
Beppu, Akihiko
Beppu, Haruhiko
Beppu, Father
Beppu, Katsuki
Berard, Tomas
Berardi, Claudio
Berci, Driscoll
Berckmann, Arnold
Bercourt, Vizen
Berenk, Liselotte
Beresford, George
Berett, Rita
Berg, Gil
Berg, Kalen
Berg, Prim
Berg, L'Arc
Berg, Selena
Bergara, Bindi
Bergatt, Tariga
Bergatt, Touka
Bergatt, Tsuruba
Berge, Amarello
Bergengrün, Hans Eduard
Berger, Raynold
Berger, Lucy
Bergman, Saga
Bergmann, Kaja
Bergsmuller, Redon
Beri, Kuzunosuke
Beria, Teresa
Beriam, Mary
Beriam, Manfred
Beriam, Natalie
Berichkov, Ivanov Leonidovitch
Beriel, Duke
Berinal, Beri
Berkeley, Andel
Berkhoff, Noll
Berlinetta, Rinne
Berlitz, Platinum
Bern, Eleonora
Bernadotte, Pip
Bernadotte, Christan 
Bernal, Rita
Bernard, Stig
Bernard, Leo
Bernard, Angelica
Bernard, Zest
Bernard Yamamine, Hijiri
Berne, Jacques
Berner, Moblit
Berners-Lynn, Tim
Berneux, Thomas
Bernhard, Irisdina
Bernhardt, Fredrick
Bernhardt, Hugo
Bernhardt, Gloria
Bernikov, Rosa
Bernkastel, Frederica
Bernstein, Ingrid
Bernstein, Isuka
Bernstein, Heinz
Bernstein, Kirara
Bernstein, Geraldine
Bernstein, Kudelia Aina
Bernstein, Norman
Bernstein, Tomomi
Bernstein, Nico
Bernstein, Rugal
Bernstein IV, Lood
Beroqui, Christian
Berri, P. J.
Berry, Dick
Berstein, Kanaria
Berthein, Richter H.
Berti, Tula
Bertoni, Shirojiro
Bertram, Hartmann
Bertrand, Gerard
Bertrand, Jonathan Mitsuhiro
Bertrand, Mitsuhiro
Bertuccio, Giovanni
Beru, Pavis
Berukuru, Shinon
Berurean, Romina
Bess, Brown
Bessho, Koyoi
Bessho, Yoshihiko
Bessho, Anri
Bessho, Kojika
Bessho, Chiaki
Bessho, Emma
Bessho, Kazuyoshi
Bessho, Naohiko
Bessho, Toshiko
Besson, Muriel
Bester, Hannah
Beswood Gar, Gassilman
Beta, Lupusregina
Bete, Elsa
Betsuki, Eri
Betsuyaku, Taichi
Betsuyaku, Hiroka
Bettany, Clyde
Betterman, Lamia
Bettou, Risa
Betty, Belo
Beurling, Elizabeth F.
Bezelheim, Hartmann
Bhaer, Fritz
Bhaer, Robb
Bhaer, Teddy
Bhai, Janet
Bi, Shuu
Bi-Wal, Jin
Bianca, Sazanka
Bianca, Eleanor
Bianchina, Cross
Bianci, Laura
Biaoqing, Muwu
Biatty, Norma
Bibi, Dong
Biblia, Sophina
Bichelberger, Emile
Bicock, Y.
Bidan, Kamille
Bidan, Franklin
Bidan, Hilda
Bieger, Daniel
Biel
Biente, Chico
Bientot, Severin
Big, Fatman
Big Bang
Bigaki, Madang
Biggs, Maya
Bihada, Sara
Biji, Merah
Bijogi, Taiga
Bijou, Gain
Bikirk, April
Bilan, Oubary
Bilda, Takako
Billingham, Douglas
Billy, Franken
Bilrer, Richard
Bilstein, Mage
Bilstein, Nathan
Binbo, Taizou
Binboda, Momiji
Bindewald, Adam
Bine, Knuckle
Bing, Li
Bingel, J.
Binks, Jar Jar
Biquet, Pascal
Birchall, Betty
Birchall, Tina
Bird, Dodo
Bird, Isabella
Birdland, Poko
Birdway, Leivinia
Birdway, Patricia
Birenkofen, Lotte
Birmings, Alzack
Birnkrant, Anise
Birstanne, Dondochakka
Birthday, Beyond
Biruda, Kouichi
Bisconti, Caio
Biscuit, Oliva
Bishilie, Enrique
Bishop, Lynette
Bishop, Lieri
Bishop, Raymond
Bishop, Armani
Bishop, Wilma
